Brightness,Face Detected,Face Recognized,Names
0.6872832609388982,False,False,
1.7466542906228748,False,False,
1.3446820076752155,False,False,
1.6325999013636532,False,False,
0.45653463264810956,False,False,
0.26715135812704727,False,False,
1.3076039053491453,False,False,
0.9751327545185832,False,False,
1.226366771430937,False,False,
1.747028133701404,False,False,
1.1122427670113961,False,False,
0.841999450538239,False,False,
1.298554975491672,False,False,
0.31232244195912484,False,False,
1.28242923863027,False,False,
1.5067483925606493,False,False,
1.0962130054084418,False,False,
1.5446269831973982,False,False,
1.1219476944562268,False,False,
0.7359471592294606,False,False,
1.4201584168381223,False,False,
1.3888607158561748,False,False,
0.5510511709945028,False,False,
0.9077196640413537,False,False,
0.8936444972909028,False,False,
1.253339413778368,False,False,
0.754724397513892,False,False,
1.0542097536753516,False,False,
0.9442145763494866,False,False,
1.1747218722412232,False,False,
0.3224695188190915,False,False,
1.39975768061516,False,False,
1.0974784565618734,False,False,
1.254151528333769,False,False,
1.148362367828802,False,False,
1.2513762876509718,False,False,
0.2645579278243802,False,False,
0.41266968078400956,False,False,
1.443470298686145,True,False,
1.7342653090601945,True,False,
1.0035717762067242,True,False,
1.5966839840240814,True,False,
1.728092959839649,True,False,
0.5544607774434449,True,False,
1.397964693708436,True,False,
0.35731656351016644,True,False,
0.9965946527954539,True,False,
0.8588103438932799,True,False,
0.25678094985747646,False,False,
0.9281943902308123,False,False,
1.5304580170460904,True,False,
1.0426322830427597,True,False,
0.4660849268388393,False,False,
0.3570169142031095,False,False,
1.3933481690214666,True,False,
0.42037497280266617,False,False,
0.9646588827776766,True,False,
0.3448651188738509,False,False,
1.5527986430377023,False,False,
0.7921186958627559,True,False,
1.2005978844972431,True,False,
1.5397739359659577,True,False,
0.7006580511419801,True,False,
1.6311816055260644,True,False,
0.38974365294732716,True,False,
1.5621747416289606,True,False,
0.2752900570936661,True,False,
0.6419851553772695,True,False,
0.30000581080875083,True,False,
1.0256568928870802,True,False,
1.38233229821524,True,True,Alexx
0.7378200901611607,True,False,
1.0589037913529693,True,True,Alexx
1.2333614677547735,True,True,Alexx
0.7773656238994704,True,False,
0.818265160165653,True,False,
1.2130849879640906,True,True,Alexx
1.036355156525849,True,True,Alexx
0.4929486614879064,True,False,
0.5008074329866232,True,True,Alexx
1.0900944795930492,True,True,Alexx
1.5275830520990574,True,True,Alexx
1.3467172999319943,True,True,Alexx
0.3420094474974099,True,True,Alexx
0.8830594196952101,True,False,
1.6223730196152495,True,True,Alexx
0.6947904126071487,True,False,
1.042847917004968,True,True,Alexx
0.7368132149538389,True,False,
1.2802985625029637,True,False,
0.9673107609708916,True,False,
0.8804377673473025,False,False,
1.3334764198793634,False,False,
1.6033995735087834,False,False,
0.7626416710819695,False,False,
1.4510843440466181,False,False,
1.0535844853347387,True,True,Alexx
1.4043788784639097,True,True,Alexx
0.875915309502048,True,True,Alexx
1.5605772578348307,True,True,Alexx
